address,campus_name,category,district,location,name,slno,th_campus,type,university
"Government Law College, Vellimadu Kunnu PO, Kozhikode 673012","Government Law College, Kozhikode",Law College,Kozhikode,https://www.google.com/maps/search/?api=1&query=Government%20Law%20College%2C%20Vellimadu%20Kunnu%20PO%2C%20Kozhikode%20673012,,115,False,Aided,Calicut University
"Sunniyya Arabic College, Chennamangallur, Mukkam PO, Kozhikode-673 602","Sunniya Arabic College, Chennamangallur",Arabic/Oriental Title College,Kozhikode,https://www.google.com/maps/search/?api=1&query=Sunniyya%20Arabic%20College%2C%20Chennamangallur%2C%20Mukkam%20PO%2C%20Kozhikode-673%20602,,116,False,Aided,Calicut University
"Rouzathul Uloom Arbic College, Farook College PO, Kozhikode-673632","Rouzathul Uloom Arabic College, Farook College",Arabic/Oriental Title College,Kozhikode,https://www.google.com/maps/search/?api=1&query=Rouzathul%20Uloom%20Arbic%20College%2C%20Farook%20College%20PO%2C%20Kozhikode-673632,,117,False,Aided,Calicut University
"Rahmaniya Arabic College, Katameri PO, Vatakara, Kozhikode","Rahmaniya Arabic College, Katameri",Arabic/Oriental Title College,Kozhikode,https://www.google.com/maps/search/?api=1&query=Rahmaniya%20Arabic%20College%2C%20Katameri%20PO%2C%20Vatakara%2C%20Kozhikode,,118,False,Unaided,Calicut University
"Jalaliya Women  s Arabic college P.O. Kuttikkattoor, Kozhikode","Jalaliya Women's Arabic College, Kuttikkattor",Arabic/Oriental Title College,Kozhikode,https://www.google.com/maps/search/?api=1&query=Jalaliya%20Women%20%20s%20Arabic%20college%20P.O.%20Kuttikkattoor%2C%20Kozhikode,,119,False,Unaided,Calicut University
"Darul Ma-Arifa Arabic College, Odungakad, Puthupady PO, Kozhikode","Darul Ma-Arifa Arabic College, Puthupady",Arabic/Oriental Title College,Kozhikode,https://www.google.com/maps/search/?api=1&query=Darul%20Ma-Arifa%20Arabic%20College%2C%20Odungakad%2C%20Puthupady%20PO%2C%20Kozhikode,,120,False,Unaided,Calicut University
"Baithul Izza Women's Arabic College, Narikkuni PO, Kozhikode","Baithul Izza Women  s Arabic College, Narikkuni",Arabic/Oriental Title College,Kozhikode,https://maps.app.goo.gl/RT12N6Afp1Nqrmh68,,121,False,Unaided,Calicut University
"Government Engineering College, West Hill, Kozhikode","Government Engineering College, West Hill",Engineering/Technical College,Kozhikode,https://www.google.com/maps/search/?api=1&query=Government%20Engineering%20College%2C%20West%20Hill%2C%20Kozhikode,,122,False,Aided,APJ Abdul Kalam Technological University
"A. W. H Engineering College, Pattayilkunnu, Kuttikkattur P.O., Kozhikkode","AWH Engineering College, Kozhikkode",Engineering/Technical College,Kozhikode,https://www.google.com/maps/search/?api=1&query=A.%20W.%20H%20Engineering%20College%2C%20Pattayilkunnu%2C%20Kuttikkattur%20P.O.%2C%20Kozhikkode,,123,False,Unaided,APJ Abdul Kalam Technological University
"DOEACC Centre Calicut, REC Post Kozhikode","DOEACC Centre Calicut, REC",Engineering/Technical College,Kozhikode,https://www.google.com/maps/search/?api=1&query=DOEACC%20Centre%20Calicut%2C%20REC%20Post%20Kozhikode,,124,False,Unaided,Calicut University
