campus_name,slno,address,university,district,category,type,location,th_campus
"Universal Engineering College, Vallivattom",1086,"Universal Engineering College, Vallivattom PO, Konathakunnu via, Mathilakam, Thrissur 680123",APJ Abdul Kalam Technological University,Thrissur,Engineering/Technical College,Unaided,https://www.google.com/maps/search/?api=1&query=Universal%20Engineering%20College%2C%20Vallivattom%20PO%2C%20Konathakunnu%20via%2C%20Mathilakam%2C%20Thrissur%20680123,False
"Vidya Academy of Science and Technology (VAST) - Technical Campus, Kilimanoor",1087,"Vidya Academy of Science and Technology (VAST) - Technical Campus, Malakkal PO, Kilimanoor, Thiruvananthapuram 695602",APJ Abdul Kalam Technological University,Thiruvananthapuram,Engineering/Technical College,Unaided,https://www.google.com/maps/search/?api=1&query=Vidya%20Academy%20of%20Science%20and%20Technology%20%28VAST%29%20-%20Technical%20Campus%2C%20Malakkal%20PO%2C%20Kilimanoor%2C%20Thiruvananthapuram%20695602,False
"Younus Institute of Technology (YIT), Kannanalloor",1088,"Younus Institute of Technology (YIT), Nedumpana PO, Kannanalloor, Kollam 691576",APJ Abdul Kalam Technological University,Kollam,Engineering/Technical College,Unaided,https://www.google.com/maps/search/?api=1&query=Younus%20Institute%20of%20Technology%20%28YIT%29%2C%20Nedumpana%20PO%2C%20Kannanalloor%2C%20Kollam%20691576,False
"Government Dental College, Alappuzha",1089,"Government Dental College, Govt. Medical College Campus, Vandanam, Alappuzha 688005",Kerala University of Health Sciences,Alappuzha,Dental College,Aided,https://maps.app.goo.gl/jwnZoduT26fmdrAt5,False
"Sree Anjaneya Institute of Dental Sciences, Modakkallur",1090,"Sree Anjaneya Institute of Dental Sciences, Modakkallur PO, Atholi Via, Kozhikkode 673315",Kerala Veterinary and Animal Sciences University,Kozhikode,Dental College,Unaided,https://www.google.com/maps/search/?api=1&query=Sree%20Anjaneya%20Institute%20of%20Dental%20Sciences%2C%20Modakkallur%20PO%2C%20Atholi%20Via%2C%20Kozhikkode%20673315,False
"Government Medical College, Palakkad",1091,"Government Medical College, East Yakkara, Kunnathurmedu PO, Palakkad 678013",Kerala University of Health Sciences,Palakkad,Medical College,Aided,https://www.google.com/maps/search/?api=1&query=Government%20Medical%20College%2C%20East%20Yakkara%2C%20Kunnathurmedu%20PO%2C%20Palakkad%20678013,False
"Government Medical College, Malappuram",1092,"Government Medical College, Manjeri, Malappuram 676121",Kerala University of Health Sciences,Malappuram,Medical College,Aided,https://www.google.com/maps/search/?api=1&query=Government%20Medical%20College%2C%20Manjeri%2C%20Malappuram%20676121,False
"Government TD Medical College, Alappuzha",1093,"Government TD Medical College, Vandanam, Alappuzha 688005",Kerala University of Health Sciences,Alappuzha,Medical College,Aided,https://www.google.com/maps/search/?api=1&query=Government%20TD%20Medical%20College%2C%20Vandanam%2C%20Alappuzha%20688005,False
"Al-Azhar Medical College and Super Specialty Hospital, Thodupuzha",1094,"Al-Azhar Medical College and Super Specialty Hospital, Thodupuzha, Ezhalloor Road, Kumaramangalam, Idukki 685608",Kerala University of Health Sciences,Idukki,Medical College,Unaided,https://www.google.com/maps/search/?api=1&query=Al-Azhar%20Medical%20College%20and%20Super%20Specialty%20Hospital%2C%20Thodupuzha%2C%20Ezhalloor%20Road%2C%20Kumaramangalam%2C%20Idukki%20685608,False
"DM Wayanad Institute of Medical Sciences, Meppadi",1095,"DM Wayanad Institute of Medical Sciences, Naseera Nagar, Meppadi PO, Wayanad 673577",Kerala University of Health Sciences,Wayanad,Medical College,Unaided,https://www.google.com/maps/search/?api=1&query=DM%20Wayanad%20Institute%20of%20Medical%20Sciences%2C%20Naseera%20Nagar%2C%20Meppadi%20PO%2C%20Wayanad%20673577,False
